itemId,name,country,itemRating,category,description
77,The Rijksmuseum,The Netherlands,4.5,"Museums, Art Museums","The Rijksmuseum is the museum of the Netherlands. The completely renovated Rijksmuseum tells the story of the Netherlands from the Middle Ages to the 20th century. Including works by Rembrandt, Vermeer, Frans Hals, and more! Most famous is Rembrandt's masterpiece the Night Watch. A new display of the collection, a renewed building, new public facilities, a revamped garden and a new Asian Pavilion. Open daily from 9 am to 5 pm."
78,The Uffizi Gallery,Italy,4.5,"Museums, Art Museums","One of the great museums of the world, the Uffizi houses the premier collection of Italian Renaissance art, featuring works by such masters as Botticelli, Titian, Michelangelo and da Vinci."
79,The Metropolitan Museum of Art,United States,5.0,"Sights & Landmarks, Points of Interest & Landmarks, Museums, Art Museums","At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect."
80,The Guggenheim Museum,Spain,4.5,"Museums, Art Museums","American architect Frank Gehry is responsible for this architectural masterpiece: this fantastic chrome and metal creation houses a large collection of modern and contemporary art, a continuation of the Guggenheim legacy."
81,The Smithsonian Institution,United States,4.5,"Sights & Landmarks, Government Buildings, Castles, Museums, Specialty Museums","The world's largest museum and research complex is actually comprised of 19 museums and the National Zoo, with subjects that vary from African Art to the postal service, sculpture to space exploration."
82,The Prado Museum,Spain,4.5,"Museums, Art Museums","The Prado has one of the largest art collections in the world, and is best known for its diverse assortment of works by Velasquez, Goya and El Greco."
83,Acropolis,Greece,4.0,"Sights & Landmarks, Ancient Ruins, Historic Sites","This ancient citadel, built in the fifth century B.C., towers over the city and is home to some of the most impressive ancient ruins, buildings, and artifacts. The most famous temple, the Parthenon, was dedicated to the goddess Athena and is considered the peak of Greek art. You can avoid long lines by joining a walking tour of the site. Make sure to wear comfortable shoes and bring sunscreen, as the walk up the hill can be steep and exposed to the sun. For the best experience, visit early in the morning or late in the afternoon to avoid the heat and for fewer crowds."
84,The Parthenon,Greece,4.5,"Sights & Landmarks, Historic Sites, Ancient Ruins, Architectural Buildings","The majestic ruins of an ancient Greek building, known for its dignified white marble columns and perfect sense of proportion."
85,The Pantheon,Italy,4.5,"Sights & Landmarks, Architectural Buildings, Churches & Cathedrals, Ancient Ruins","Dedicated to the seven planetary divinities and featuring an interior of gorgeous marble, the Pantheon is one of the most impressive monuments of Augustan Rome."
86,The Trevi Fountain,Italy,4.5,"Sights & Landmarks, Fountains","Certainly the most famous and photographed fountain in Rome, legend has it that whoever throws a coin into the pond will return to Rome."
87,The Sistine Chapel,Italy,4.5,"Sights & Landmarks, Churches & Cathedrals, Architectural Buildings, Historic Sites, Museums, Art Museums","Probably the most famous chapel in the world because of its incredible artwork, notably ""The Last Judgment,"" Michelangelo's stunning fresco covering 10,000 square feet of the ceiling and wall."
88,The Leaning Tower of Pisa,Italy,4.5,"Sights & Landmarks, Points of Interest & Landmarks, Architectural Buildings, Observation Decks & Towers","It is called the Leaning Tower or the Tower of Pisa but actually it was never used for defending the city; it is part of the religious complex in the Duomo Square and acts as its bell tower. It played an active role in both human and divine timekeeping with its seven bells – one for each musical note – the largest of which, cast in 1655, weighs a full three and a half tonnes! It is known throughout the world for the beauty of its architecture, for its extraordinary tilt, which makes it an authentic miracle of statics, and for the fact that it stands in the universally renowned Piazza dei Miracoli, of which it is certainly the prize jewel. And this is why it is one of the 7 Wonders of the World."
89,The Duomo,Italy,4.5,"Sights & Landmarks, Churches & Cathedrals, Sacred & Religious Sites","The centerpiece of Milan, the Duomo is one of Europe's greatest architectural and cultural landmarks. As Italy's largest church and one of the largest in the world, it took over 600 years to build. Today, the Duomo has a capacity of 40,000 people and is home to the world's second-largest organ. Admire the wide selection of religious art on display inside, or marvel at the 3000 statues that line its Gothic exterior. Be sure to join one of the available Duomo tours, which include art tours and even rooftop tours, where you might be able to see as far as the Italian Alps."
90,The Alhambra,Spain,4.5,"Sights & Landmarks, Architectural Buildings, Castles, Historic Sites","The second most visited site in Europe: this breathtaking palace-city is a sophisticated blend of medieval Islamic, Renaissance Christian and modern architectural styles.."
91,The Sagrada Família,Spain,4.5,"Sights & Landmarks, Churches & Cathedrals, Architectural Buildings, Points of Interest & Landmarks","Basilica de la Sagrada Familia is a church devoted to the Holy Family. One of Antoni Gaudi's most famous works, the church is perhaps best known for still being under construction since 1882—with works funded purely by donations. Take a lift to the top of the towers for a panoramic view of the city and marvel at the ornate architecture. The nativity facade and crypt have also been awarded UNESCO World Heritage Status. Skip the line with a pre-booked tour with tower access, or combine your visit with another of Gaudi's work, Parc Guell."
92,The Park Güell,Spain,4.0,"Nature & Parks, Parks","The quirky colorful mosaics and undulating curves of Park Güell are a signature of the legendary Catalan architect Antoni Gaudi, who designed many of the features in this park. Officially opened in 1926 and initially planned as a district for the rich, it is now one of the city's most popular attractions and a great representation of Catalan modernism. The entrance with two fairytale-like houses and the iconic salamander fountain are the most busy. Tickets are required to enter the park."
93,The Blue Mosque,Turkiye,4.5,"Sights & Landmarks, Sacred & Religious Sites","Built between 1609-1616, this impressive mosque has six minarets. Why is it called ""Blue Mosque?"" There are two stories: the first, more common one is that the interior is covered in Blue İznik tiles. The second is: many years ago, ancient sailors who sailed by the mosque on the Marmara Sea saw the blue colors of the sea reflected in the mosque."
94,The Hagia Sophia,Turkiye,4.5,"Sights & Landmarks, Historic Sites, Sacred & Religious Sites, Architectural Buildings","This architectural marvel displays 30 million gold tiles throughout its interior, and a wide, flat dome which was a bold engineering feat at the time it was constructed in the 6th century."
95,The Topkapi Palace,Turkiye,4.5,"Museums, History Museums","This lavish palace was the royal residence of the Ottoman empire for almost 400 years. Here, you can peek into the imperial life of the sultans as you wander through the grand courtyards, pavilions and ceremonial rooms that display an impressive collection of artefacts and treasures. With a separate ticket, you can also venture into the Harem—a private world decked with over 400 exquisitely decorated rooms where the sultan shared with his wives, concubines and children. To skip the snaking lines, buy a fast-track ticket or a multi-day Museum Pass, which provides access to the city's other top sights."
96,The Grand Bazaar,Turkiye,4.0,"Shopping, Flea & Street Markets","Bargaining for goods is standard practice at the largest covered market in Turkey, rumored to contain over 4,000 shops."
97,The Pyramids of Giza,Egypt,4.5,"Sights & Landmarks, Ancient Ruins, Historic Sites","Perhaps the most recognizable among the Seven Wonders of the World, the exact origin of these majestic pyramids continues to spark debate."
98,The Sphinx,Egypt,4.5,"Sights & Landmarks, Monuments & Statues","This impressive monument, carved in honor of an unknown Pharaoh during the 18th Dynasty, is 26 feet long, 13 feet tall and weighs approximately 90 tons."
99,The Valley of the Kings,Egypt,4.5,"Sights & Landmarks, Cemeteries, Ancient Ruins","This desert valley contains the ancient burial ground of many Egyptian pharaohs. Among over 60 royal tombs is the famous Tomb of Tutankhamen that was found in pristine condition."
100,The Karnak Temple,Egypt,5.0,"Sights & Landmarks, Historic Sites, Ancient Ruins","Huge temple site with preserved ancient ruins & over 200 structures, including giant Amen-Ra temple."
